([-1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, 0, 0, 1, 0, 0], [2, 2, 3, 2, 48, 7, 11, 14, 0, 3, 0, 14, 85, 0, 3, 11])
([1, 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 1, -1, 0, 1, 0, 0], [10, 3, 5, 5, 5, 3, 3, 9, 0, 5, 0, 0, 369, 0, 5, 46])
([-1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, -1, 0, 1, 0, 0], [1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 203, 0, 1, 1])
([1, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0, 1, -1, -1, 1, 0, 0], [47, 44, 0, 63, 103, 47, 47, 73, 0, 42, 0, 0, 0, 0, 42, 45])
([-1, 0, 0, 1, 1, 0, 0, 0, 0, -1, 0, 1, -1, -1, 1, 0, 0], [1, 1, 0, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 116])
([1, 0, 0, 1, 1, 0, 0, 0, 0, -1, 0, 1, -1, -1, 1, 0, -1], [3, 5, 0, 0, 35, 7, 3, 5, 0, 5, 0, 0, 0, 0, 3, 0])
([-1, 0, 0, 1, 1, 0, 0, 0, 0, -1, 1, 1, -1, -1, 1, 0, -1], [29, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0])
([1, -1, 0, 1, 1, 0, 0, 0, 0, -1, 1, 1, -1, -1, 1, 0, -1], [0, 4, 0, 0, 15, 8, 4, 4, 0, 0, 0, 0, 0, 0, 4, 0])
([-1, -1, 0, 1, 1, 1, 0, 0, 0, -1, 1, 1, -1, -1, 1, 0, -1], [0, 2, 0, 0, 0, 2, 13, 2, 0, 0, 0, 0, 0, 0, 2, 0])
([1, -1, 0, 1, 1, 1, 0, -1, 0, -1, 1, 1, -1, -1, 1, 0, -1], [0, 2, 0, 0, 0, 9, 0, 2, 0, 0, 0, 0, 0, 0, 2, 0])
