([1, -1, 1, -1, 1, 0, 0, 1, -1, 0], [0, 0, 0, 0, 1, 1, 0, 0, 1])
([-1, -1, 1, -1, 1, 0, 1, 1, -1, 0], [0, 0, 0, 0, 3, 0, 0, 0, 1])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 5, 3, 7, 2, 3, 88, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 1, 0, 0], [8, 6, 8, 6, 4, 8, 0, 4, 4])
([1, 0, 0, 0, 0, 0, 0, 1, 0, -1], [1, 1, 28, 1, 1, 1, 0, 1, 0])
([-1, 0, 0, 1, 0, 0, 0, 1, 0, -1], [3, 3, 0, 3, 3, 2, 0, 2, 0])
([1, 0, -1, 1, 0, 0, 0, 1, 0, -1], [8, 0, 0, 1, 1, 1, 0, 1, 0])
([-1, 1, -1, 1, 0, 0, 0, 1, 0, -1], [0, 0, 0, 3, 2, 2, 0, 2, 0])
([1, 1, -1, 1, 0, 0, -1, 1, 0, -1], [0, 0, 0, 3, 1, 0, 0, 1, 0])
([-1, 1, -1, 1, 1, 0, -1, 1, 0, -1], [0, 0, 0, 0, 1, 0, 0, 1, 0])
([1, 1, -1, 1, 1, 0, -1, 1, -1, -1], [0, 0, 0, 0, 1, 0, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [3, 29, 1, 1, 1, 2, 1, 1, 1])
([-1, 0, 1, 0, 0, 0, 0, 0, 0, 0], [14, 0, 10, 10, 18, 14, 10, 6, 10])
([1, 0, 1, -1, 0, 0, 0, 0, 0, 0], [1, 0, 0, 1, 1, 1, 1, 26, 1])
([-1, 0, 1, -1, 0, 0, 0, 0, 1, 0], [2, 0, 0, 2, 8, 1, 1, 0, 2])
([1, -1, 1, -1, 0, 0, 0, 0, 1, 0], [0, 0, 0, 4, 2, 1, 1, 0, 1])
([-1, -1, 1, -1, 0, 0, 0, 0, 1, 1], [0, 0, 0, 2, 3, 2, 5, 0, 0])
([1, -1, 1, -1, 0, 0, 0, -1, 1, 1], [0, 0, 0, 1, 4, 1, 0, 0, 0])
([-1, -1, 1, -1, 1, 0, 0, -1, 1, 1], [0, 0, 0, 0, 3, 1, 0, 0, 0])
([1, -1, 1, -1, 1, 0, -1, -1, 1, 1], [0, 0, 0, 0, 1, 0, 0, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [2, 5, 3, 3, 54, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 1, 0, 0, 0, 0], [4, 4, 11, 4, 0, 5, 4, 3, 3])
([1, 0, 0, 0, 0, 1, -1, 0, 0, 0], [2, 7, 9, 1, 0, 0, 1, 1, 1])
([-1, 0, 1, 0, 0, 1, -1, 0, 0, 0], [3, 0, 7, 1, 0, 0, 1, 1, 1])
([1, 0, 1, -1, 0, 1, -1, 0, 0, 0], [2, 0, 0, 4, 0, 0, 2, 4, 2])
([-1, 0, 1, -1, 0, 1, -1, 0, 1, 0], [5, 0, 0, 5, 0, 0, 2, 0, 1])
([1, 0, 1, -1, 0, 1, -1, -1, 1, 0], [1, 0, 0, 1, 0, 0, 0, 0, 1])
([-1, 0, 1, -1, 1, 1, -1, -1, 1, 0], [1, 0, 0, 0, 0, 0, 0, 0, 3])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 1, 1, 12, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 1, 0, 0, 0], [7, 8, 6, 18, 6, 0, 18, 16, 16])
([1, 0, 0, 0, 0, 0, 1, 0, 0, -1], [11, 1, 5, 1, 1, 0, 1, 1, 0])
([-1, 1, 0, 0, 0, 0, 1, 0, 0, -1], [0, 3, 3, 3, 7, 0, 8, 4, 0])
([1, 1, 0, 0, 0, -1, 1, 0, 0, -1], [0, 2, 10, 1, 0, 0, 1, 1, 0])
([-1, 1, 1, 0, 0, -1, 1, 0, 0, -1], [0, 0, 4, 1, 0, 0, 1, 1, 0])
([1, 1, 1, -1, 0, -1, 1, 0, 0, -1], [0, 0, 0, 2, 0, 0, 2, 2, 0])
([-1, 1, 1, -1, 0, -1, 1, 0, 1, -1], [0, 0, 0, 2, 0, 0, 4, 0, 0])
([1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 7, 1, 1, 1, 1, 1])
([-1, 0, 0, 0, 0, 0, 0, 0, 1, 0], [23, 7, 21, 7, 26, 26, 21, 0, 21])
([1, -1, 0, 0, 0, 0, 0, 0, 1, 0], [0, 9, 2, 33, 1, 1, 1, 0, 1])
([-1, -1, 0, 0, 1, 0, 0, 0, 1, 0], [0, 3, 1, 0, 1, 1, 2, 0, 1])
([1, -1, 0, 0, 1, 0, 0, -1, 1, 0], [0, 2, 10, 0, 1, 1, 0, 0, 1])
([-1, -1, 0, 1, 1, 0, 0, -1, 1, 0], [0, 4, 0, 0, 3, 3, 0, 0, 3])
([1, -1, -1, 1, 1, 0, 0, -1, 1, 0], [0, 0, 0, 0, 3, 1, 0, 0, 1])
